Participant,TOI,Interval,Media,Duration_of_interval,Start_of_interval,Number_of_Events.Logged_live_Event,Time_to_first_Event.Logged_live_Event,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Total_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Average_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Minimum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Maximum_duration_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Number_of_fixations.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Time_to_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Duration_of_first_fixation.fullAOI,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Average_pupil_diameter.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Total_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Average_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Minimum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Maximum_duration_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Number_of_whole_fixations.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Time_to_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Duration_of_first_whole_fixation.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Average_whole-fixation_pupil_diameter.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Total_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Average_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Minimum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Maximum_duration_of_Visit.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Number_of_Visits.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Time_to_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Duration_of_first_Visit.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Total_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Average_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Minimum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Maximum_duration_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Number_of_Glances.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Time_to_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Duration_of_first_Glance.fullAOI,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Number_of_whole_fixations,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Minimum_peak_velocity_of_saccades,Maximum_peak_velocity_of_saccades,Standard_deviation_of_peak_velocity_of_saccades,Average_amplitude_of_saccades,Minimum_amplitude_of_saccades,Maximum_amplitude_of_saccades,Total_amplitude_of_saccades,Time_to_first_saccade,Direction_of_first_saccade,Peak_velocity_of_first_saccade,Average_velocity_of_first_saccade,Amplitude_of_first_saccade,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Number_of_saccades_in_AOI.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_entry_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Time_to_exit_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_entry_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI,Peak_velocity_of_exit_saccade.fullAOI
102,TOI_0-5,1,scenevideo,5000,0,0,,,,,,,,,,,,1002,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,200,,,,,,fullAOI,fullAOI,,,,,,,,,,,1.86593,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,"1,90508",,,,,,,,,,,,,,,,4526,,,,,,,,,,,,,,,,4526,,,,,,,,,,,,,,,,4526,,,,,,,,,,,,,,,,4526,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,4526,,,,,,,,,,,,,,,,4546,,,,,,,,,,,,,,,,4546,,,,,,,,,,,,,,,,4546,,,,,,,,,,,,,,,,4546,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,454,,,,,,,,,,,,,,,,4546,,,,,,491,164,3,200,"1,90508",1,"271,26","271,26","271,26",,3.57,"3,57","3,57","3,57",675,"1,6","271,26","170,58","3,57",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,TOI_0-5,1,scenevideo,5000,0,0,,,,,,,,,,,,,,,,3139,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,70,,fullAOI,fullAOI,,,,,,,,,,,,,,,2.22346,,,,,,,,,,,,,,,,2855,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,"2,22327",,,,,,,,,,,,,,,,4852,,,,,,,,,,,,,,,,4852,,,,,,,,,,,,,,,,4852,,,,,,,,,,,,,,,,4852,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,4852,,,,,,,,,,,,,,,,4862,,,,,,,,,,,,,,,,4862,,,,,,,,,,,,,,,,4862,,,,,,,,,,,,,,,,4862,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,4862,,2855,190,15,70,"2,22327",9,"322,43","108,39","684,38","203,92",10.31,"3,02","23,08","92,75",218,"107,64","236,96","174,03","6,02",,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,TOI_0-5,1,scenevideo,5000,0,0,,,,,,,,,,,,,,,4519,,,,,,,,,,,,,,,,1130,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,2284,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,291,,,fullAOI,fullAOI,,,,,,,,,,,,,,2.94605,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5000,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TOI_0-5,1,scenevideo,5000,0,0,,,,,,,4157,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,761,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,274,,,,,,,,,,,fullAOI,fullAOI,,,,,,2.91024,,,,,,,,,,,,,,,,3216,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,761,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,984,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,"2,85121",,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5000,,,,,,,,,,,3216,402,8,501,"2,85121",5,"231,51","141,14","301,82","70,52",6.14,"2,04","9,32","30,69",1485,"200,98","270,38","210,04","9,32",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
